ชื่อเพลง,ชื่อนักร้อง,ชื่อวง,นาที,ลิ้ง url,ประเภทเพลง,ธีมงาน,ภาษา
เพลงสุขสันต์วันเกิด,หนู มิเตอร์,-,1:20,https://www.youtube.com/embed/ueZK7CsxKio?si=3jcccqDIrZM5mYHN,ลูกทุ่ง,Birthday party,Thai
สุขสันต์วันเกิดนะเด็กดื้อ,Z9,-,2:38,https://www.youtube.com/embed/m6ubWRTcAj4?si=yH5jSyIqHmwHi5hq,Pop,Birthday party,Thai
แฮป ๆน้า,JUNENOM ,-,3:29,https://www.youtube.com/embed/ZfajpNG4fZg?si=E1k18w486YeVIU78,Pop,Birthday party,Thai
Best Day Of My Life ,-,American Authors,3:40,https://www.youtube.com/embed/Y66j_BUCBMY?si=A50fFRE3Ls5Tdgfb,Alternative,Birthday party,English
Daft Punk ,"Get Lucky  ft. Pharrell Williams, Nile Rodgers",-,4:08,https://www.youtube.com/embed/5NV6Rdv1a3I?si=bPdeCiwlIBs62QyF,EDM,Birthday party,English
สุขสันต์วันเกิด,Pearprapa,-,4:26,https://www.youtube.com/embed/Cwkej79U3ek?si=P2fKtjENjXtTu61-,Pop,Birthday party,Thai
Birthday Cake,Rihanna,-,1:20,https://www.youtube.com/embed/leK4eoqwmfU?si=nzu8UNDByZW10WBX,R&B,Birthday party,English
You've Got A Friend,Carole King,-,5:10,https://www.youtube.com/embed/eAR_Ff5A8Rk?si=pSOO2QQXyjpe9eXp,"Country,Pop",Birthday party,English
สุขสันต์วันเกิด,cookie united,-,3:25,https://www.youtube.com/embed/JHHimVecEpY?si=sH-XX_RSBwj33wHA,Pop,Birthday party,Thai
ฤดูใหม่,T_047,-,3:34,https://www.youtube.com/embed/5j2BJkpT6fs?si=1sFw4IBzeIuQVoYC,Indie,Birthday party,Thai
Happy Birthday Sweet Sixteen,Neil Sedaka,-,2:50,https://www.youtube.com/embed/2jKx0NSNGEQ?si=WRuNog5fP3bY5oas,Retro,Birthday party,English
ซูลูปาก้า ตาปาเฮ้,themoonwillalwaysbewithme,-,3:45,https://www.youtube.com/embed/guCCAF-fkNI?si=rfyT-uhNFZ91qk8A,Indie,Birthday party,Thai
ยินดีที่ได้พบเธอ,Stoondio,-,3:44,https://www.youtube.com/embed/hHUnDBdOGA4?si=LQk4Y57tvE0zcftE,Indie,Birthday party,Thai
โตไปด้วยด้วยกัน,Uncle Ben,-,5:16,https://www.youtube.com/embed/TJtnc0KJizc?si=fmMqXhUCsCJU_F70,Pop,Birthday party,Thai
หมวกเมฆสีรุ้ง,YEW,-,4:33,https://www.youtube.com/embed/SJNFhQ1gdLo?si=Jpyu0XBca854C4Xv,Indie,Birthday party,Thai
เธอคือของขวัญ,Unplugged,-,5:23,https://www.youtube.com/embed/sUEAcQ7yoVE?si=LMVRjR3XpChdaFdH,Romantic,Birthday party,Thai
รางวัล,Youth Brush,-,3:55,https://www.youtube.com/embed/JYdST6sYUWg?si=qYhSWI4vPg0yPZJX,Indie,Birthday party,Thai
ยิันจุดสิ้นสุดเวลา,Arert,-,3:52,https://www.youtube.com/embed/1LjjxugVn5k?si=xVj4ew17dEDlnTqS,Indie,Birthday party,Thai
เธอคือของขวัญ,สิงโต นำโชค,-,3:36,https://www.youtube.com/embed/u0KcNrUVgxM?si=MZ-sNqiGMob-eI-3,"Romantic,Pop",Birthday party,Thai
ข้างกาย,-,Safeplanet,4:16,https://www.youtube.com/embed/4xvSFYbVa0U?si=-G23Utcq1NZ2eGbG,Indie,Birthday party,Thai
Please Be True,-,LANDOKMAI,5:13,https://www.youtube.com/embed/omeX6xiPtPI?si=XK3Wlf1j79Q59Kq2,Indie,Birthday party,Thai
ยินดี,sarah salora,-,3:42,https://www.youtube.com/embed/1EYyGDynYkk?si=GtDc1ImYY_385zVl,Indie,Birthday party,Thai
Birthday,-,The Beatles,2:43,https://www.youtube.com/embed/dhdOPhTHeoE?si=6riGHuTmOsy-bCta,"Retro,Rock",Birthday party,English
Happy Birthday,-,Altered Images,2:56,https://www.youtube.com/embed/6t1vaF50Ks0?si=-uHN0f06QJxfysMK,"Pop,Retro",Birthday party,English
B-Day Song,Madonna and M.I.A.,-,3:33,https://www.youtube.com/embed/FE_or9_U8ss?si=O3L1HC13RvdxEcoP,"Pop,Hip-Hop",Birthday party,English
Thank You,Dido,-,3:13,https://www.youtube.com/embed/1TO48Cnl66w?si=deJxt4IrIkgkw_5n,Pop,Birthday party,English
สุขสันต์วันเกิด,พิม ฐิติยากร,-,3:53,https://www.youtube.com/embed/wDnoWIFnY1Q?si=wA8HJ6uPkWe-Dpet,Pop,Birthday party,Thai
H.B.D.(happy birthday),HAWKCRY X KXNZO,-,3:06,https://www.youtube.com/embed/byx8bU9AGnI?si=rzJ6YXb_4CI_kLYC,Rap,Birthday party,Thai
In Da Club,50 Cent,-,3:55,https://www.youtube.com/embed/MZNohxvrFQI?si=f0XMe9ctgBgXDgji,"Hip-Hop,Rap",Birthday party,English
คุยกับเธอได้แค่วันเกิด (once a year),THE WHITE HAIR CUT,-,5:07,https://www.youtube.com/embed/-K_NUf-MWJ0?si=XODrBD6GnyvIS0fk,Indie,Birthday party,Thai
Happy Birthday,Kygo feat. John Legend,-,4:10,https://www.youtube.com/embed/ORemUrv6jJ4?si=6uOIhZjh_Tq3ccBE,EDM,Birthday party,English
Birthday,Selena Gomez,-,3:22,https://www.youtube.com/embed/YuYzuLiHP30?si=fHzaiiSb2_Dojatr,Pop,Birthday party,English
ให้...HBD,Fair Stin,-,3:49,https://www.youtube.com/embed/aYaF2cMdo3I?si=ESTS2N1F559Qm2DX,Indie,Birthday party,Thai
แฮปปี้เบิร์ดเดย์นะ,UNNY-K X SARAN X BlackHeart,-,3:51,https://www.youtube.com/embed/f9fK0cOvRMA?si=OD5eXkj0ifgiErqi,Rap,Birthday party,Thai
It’s My Birthday,will.i.am and Cody Wise,-,4:21,https://www.youtube.com/embed/JuM7hObGjWI?si=RsckXsMaG_7vpp3_,"EDM,Hip-Hop",Birthday party,English
